»ç¾÷Àå¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,ÈÞ¾÷½ÃÀÛÀÏÀÚ,ÈÞ¾÷Á¾·áÀÏÀÚ,Æó¾÷ÀÏÀÚ,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,µµ·Î¸íÀüÃ¼ÁÖ¼Ò,ÁÖ¼Ò,"Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿©ºÎ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼ÒÀÏÀÚ","Æó¾÷,ÀüÃâ,ÈÞ¾÷,Ãë¼Ò,¸»¼Ò¿¬µµ",ÀÎÇã°¡¿¬µµ
±×¸°Çï½º,2003-06-16,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 297-1,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»ê·Î 85 (µ¶»êµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»ê·Î 85 (µ¶»êµ¿),0,,,2003
½½¸²ÇÑ ¹Ùµð,2013-12-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1031-9¹øÁö ¸²½ººôµù ÁöÇÏµ¿ 101È£,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 362, ÁöÇÏÃþ 101È£ (µ¶»êµ¿, ¸²½ººôµù)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 362, ÁöÇÏÃþ 101È£ (µ¶»êµ¿, ¸²½ººôµù)",0,,,2013
°Ç°­À»´ã´Ù season2,2014-11-05,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 543-1¹øÁö,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ¼­ºÎ»û±æ 606, 214-1È£ (°¡»êµ¿, µðÆú¸®½º)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ¼­ºÎ»û±æ 606, 214-1È£ (°¡»êµ¿, µðÆú¸®½º)",0,,,2014
½½¸²ÇÑ¹Ùµð ½ÃÈïÁ¡,2015-04-21,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 904-7¹øÁö ¼­¿ìºôµù,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 172, 3Ãþ (½ÃÈïµ¿, ¼­¿ìºôµù)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 172, 3Ãþ (½ÃÈïµ¿, ¼­¿ìºôµù)",0,,,2015
º®°è¼ö ½ºÆÄ,2015-06-15,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 140-36¹øÁö B201È£,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µðÁöÅÐ·Î12±æ 15, BÃþ 201È£ (°¡»êµ¿, ºñÁîÆ®À§Æ®¹ÙÀÌ¿Ã·¿5Â÷)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µðÁöÅÐ·Î12±æ 15, BÃþ 201È£ (°¡»êµ¿, ºñÁîÆ®À§Æ®¹ÙÀÌ¿Ã·¿5Â÷)",0,,,2015
»ï¼º³²³àÇï½º¼¾Å¸,1995-10-16,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 639-2¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 527  (Áß°îµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 527  (Áß°îµ¿),0,,,1995
¿µ±¤Çï½ºÇÇ¾Æ,1996-03-26,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 680-72¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 52  (ÀÚ¾çµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾ç·Î 52  (ÀÚ¾çµ¿),0,,,1996
¿ª»çÇï½º,1996-04-02,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 349-1¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ µ¿ÀÏ·Î 222  (±ºÀÚµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ µ¿ÀÏ·Î 222  (±ºÀÚµ¿),0,,,1996
¸á·ÐÁü,1996-04-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 222-1¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ·Î 39  (±¸ÀÇµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ·Î 39  (±¸ÀÇµ¿),0,,,1996
ÆÄ¿öÇï½º,1996-08-26,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 173-7¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î11±æ 10  (Áß°îµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î11±æ 10  (Áß°îµ¿),0,,,1996
½ºÆ÷ÇÃ·º½º(°¡»êÁ¡),2016-03-18,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 371-17,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµðÁöÅÐ1·Î 131, Bµ¿ 2Ãþ 217È£ (°¡»êµ¿, BYC HIGHCITY)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµðÁöÅÐ1·Î 131, Bµ¿ 2Ãþ 217È£ (°¡»êµ¿, BYC HIGHCITY)",0,,,2016
¼¼ºìÁü ÈÖÆ®´Ï½º,2012-03-27,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 851-19¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î7±æ 50 (ÀÚ¾çµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î7±æ 50 (ÀÚ¾çµ¿),0,,,2012
¹ÙµðÆÛÆ÷¸Õ½º Áü,2012-04-25,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 478-5¹øÁö ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 548, ÁöÇÏ1Ãþ (±ºÀÚµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 548, ÁöÇÏ1Ãþ (±ºÀÚµ¿)",0,,,2012
¾ÆÅ©·ÎÁü ±¸ÀÇÁ¡,2012-12-10,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 201-8 Áø³Ø½º º£¸£µð¿¥ ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î 604, ÁöÇÏ1Ãþ (±¸ÀÇµ¿, Áø³Ø½º º£¸£µð¿¥)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤³ª·ç·Î 604, ÁöÇÏ1Ãþ (±¸ÀÇµ¿, Áø³Ø½º º£¸£µð¿¥)",0,,,2012
ºñÅÍ½ºÀ­ÄÚ¸®¾Æ,2013-10-01,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 199-18¹øÁö »ï¼º½¦¸£ºô 101µ¿ ÁöÇÏ1Ãþ 114È£(113È£ÀÏºÎ Æ÷ÇÔ),"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ°­º¯·Î 106, 101µ¿ ÁöÇÏ1Ãþ 114(113È£ÀÏºÎÆ÷ÇÔ)È£ (±¸ÀÇµ¿, »ï¼º½¦¸£ºô)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇ°­º¯·Î 106, 101µ¿ ÁöÇÏ1Ãþ 114(113È£ÀÏºÎÆ÷ÇÔ)È£ (±¸ÀÇµ¿, »ï¼º½¦¸£ºô)",0,,,2013
Á¦ÀÌ ÆÛ½º³Î Æ®·¹ÀÌ´× ½ºÆ©µð¿À,2013-10-08,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 200-15¹øÁö ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 477, ÁöÇÏ1Ãþ (±¸ÀÇµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 477, ÁöÇÏ1Ãþ (±¸ÀÇµ¿)",0,,,2013
¿ª¹ß»ê¼¾ÅÍ,1993-07-07,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 10-1¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î13±æ 39  (È­¾çµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿·Î13±æ 39  (È­¾çµ¿),0,,,1993
ÈÖÆ®´Ï½ºÇÇÇÃ¿ì¸Õ ±¸ÀÇÁ¡,1994-08-01,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 216-9 ¼¼È­ºôµù 5Ãþµ¿,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 380, 5Ãþ (ÀÚ¾çµ¿, ¼¼È­ºôµù)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 380, 5Ãþ (ÀÚ¾çµ¿, ¼¼È­ºôµù)",0,,,1994
±¤¿îÇï½º,1994-12-01,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 666-4¹øÁö,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¶Ò¼¶·Î56±æ 59  (ÀÚ¾çµ¿),¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¶Ò¼¶·Î56±æ 59  (ÀÚ¾çµ¿),0,,,1994
ÁÖ½ÄÈ¸»ç Çï½ºº¸ÀÌÄÄÆÛ´Ï,2018-01-17,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 227-7 ÁöÇÏ1Ãþ B100-1È£,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 272, ´õ¼¥½ºÅ¸½ÃÆ¼ ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 272, ´õ¼¥½ºÅ¸½ÃÆ¼ ÁöÇÏ1Ãþ (ÀÚ¾çµ¿)",0,,,2018
¹ÙµðÄÉ¾îÁü,2018-01-19,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 244-28¹øÁö ¼®¿øºôµù,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 805, ¼®¿øºôµù 4Ãþ (±¤Àåµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 805, ¼®¿øºôµù 4Ãþ (±¤Àåµ¿)",0,,,2018
ÇÇÆ®´Ï½º ¾Æ·¹³ª,2018-03-06,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 445-5 ´ëÇÑÁ¦Áö(ÁÖ) »ç¿Á ÁöÇÏ2Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 563, ´ëÇÑÁ¦Áö(ÁÖ) »ç¿Á ÁöÇÏ2Ãþ (±¤Àåµ¿)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¾ÆÂ÷»ê·Î 563, ´ëÇÑÁ¦Áö(ÁÖ) »ç¿Á ÁöÇÏ2Ãþ (±¤Àåµ¿)",0,,,2018
¹ÌÁøÇï½ºÅ©·´,2000-05-23,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 837-38¹øÁö,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î 56  (½ÃÈïµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î 56  (½ÃÈïµ¿),0,,,2000
½ÅÇùÇï½ºÀå,2000-05-31,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 178-28¹øÁö,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î 281  (µ¶»êµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î 281  (µ¶»êµ¿),0,,,2000
G.XÈÖÆ®´Ï½º¼¾ÅÍ,2006-03-30,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 993-3,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 215 (½ÃÈïµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 215 (½ÃÈïµ¿),0,,,2006
JMÈÖÆ®´Ï½º,2005-07-14,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 82-2¹øÁö µ¿È­ºôµù  5Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿µÈ­»ç·Î 24  (Áß°îµ¿,µ¿È­ºôµù  5Ãþ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿µÈ­»ç·Î 24  (Áß°îµ¿,µ¿È­ºôµù  5Ãþ)",0,,,2005
±¤¸í ÈÖÆ®´Ï½º,2005-10-24,,,,,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 579-1¹øÁö µ¿¹æÇÁ¶óÀÚ ÁöÇÏ1Ãþ 101È£, 102È£","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î17±æ 40 (Áß°îµ¿, µ¿¹æÇÁ¶óÀÚ ÁöÇÏ1Ãþ 101È£, 102È£)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î17±æ 40 (Áß°îµ¿, µ¿¹æÇÁ¶óÀÚ ÁöÇÏ1Ãþ 101È£, 102È£)",0,,,2005
µå¸²Çï½ºÅ¬·´,2005-11-08,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 113-7¹øÁö 2Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î129±æ 29  (Áß°îµ¿,2Ãþ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î129±æ 29  (Áß°îµ¿,2Ãþ)",0,,,2005
ÈÞ¸ÕÁü,2006-01-23,,,,,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 54-3¹øÁö 5Ãþ,6Ãþ","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 675, 6Ãþ (±¸ÀÇµ¿, È­µ¿ºôµù)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÃµÈ£´ë·Î 675, 6Ãþ (±¸ÀÇµ¿, È­µ¿ºôµù)",0,,,2006
±¤Áø±¸¹ÎÃ¼À°¼¾ÅÍ,2006-07-31,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 318¹øÁö,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸Ãµ¸é·Î 14 (±¤Àåµ¿, ±¤Áø±¸¹ÎÃ¼À°¼¾ÅÍ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸Ãµ¸é·Î 14 (±¤Àåµ¿, ±¤Áø±¸¹ÎÃ¼À°¼¾ÅÍ)",0,,,2006
µ¿¹æÇï½º,2001-05-09,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 579-1¹øÁö 2Ãþ203È£,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î17±æ 40, 2Ãþ 203È£ (Áß°îµ¿, µ¿¹æÇÁ¶óÀÚ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¸é¸ñ·Î17±æ 40, 2Ãþ 203È£ (Áß°îµ¿, µ¿¹æÇÁ¶óÀÚ)",0,,,2001
¹Ùµð¸ÞÀÌÆ® Áü,2001-05-16,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 93-2 (4Ãþ),"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿ë¸¶»ê·Î 10, 4Ãþ (Áß°îµ¿, ´ëºØºôµù)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿ë¸¶»ê·Î 10, 4Ãþ (Áß°îµ¿, ´ëºØºôµù)",0,,,2001
ÆÄ¿öÁ¸,2001-08-23,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 78-3¹øÁö 2Ãþ,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿µÈ­»ç·Î 1  (Áß°îµ¿,2Ãþ)","¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ¿µÈ­»ç·Î 1  (Áß°îµ¿,2Ãþ)",0,,,2001
´º±ÝÃµ ÈÖÆ®´Ï½º3,2007-03-29,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 5-13,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î50±æ 89 (½ÃÈïµ¿),¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î50±æ 89 (½ÃÈïµ¿),0,,,2007
ÆÛÆåÆ®Áü,2007-11-08,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1093-4 ÇÑ½Å¾ÆÆÄÆ®,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ÇÑ³»·Î 62, »ó°¡µ¿ 4010È£ (µ¶»êµ¿, ÇÑ½Å¾ÆÆÄÆ®)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ÇÑ³»·Î 62, »ó°¡µ¿ 4010È£ (µ¶»êµ¿, ÇÑ½Å¾ÆÆÄÆ®)",0,,,2007
µðÁöÇÇÆ®´Ï½º(DGFIT)&°ñÇÁ,2009-07-23,,,,,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 890-4 ÁöÇÏ1Ãþ,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 202 (½ÃÈïµ¿,ÁöÇÏ1Ãþ)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈï´ë·Î 202 (½ÃÈïµ¿,ÁöÇÏ1Ãþ)",0,,,2009
°ÅºÀ ÈÖÆ®´Ï½º,2009-11-04,,,,,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1041-35¹øÁö 3,4Ãþ","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î64±æ 13  (µ¶»êµ¿,3,4Ãþ)","¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»ê·Î64±æ 13  (µ¶»êµ¿,3,4Ãþ)",0,,,2009
