시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드,회원모집총인원
고양시,킬로그램트라이브,20211221,,13,영업중,,02-3157-2179,,10596,경기도 고양시 덕양구 고양대로1954번길 13-9 (동산동),경기도 고양시 덕양구 동산동 77-3 ,10596,37.6455023496,126.8968512295,,190831.700953433    ,460343.848763633    ,체력단련장업,사립,,0
고양시,바틀제로핏,20220523,,13,영업중,,,,10315,"경기도 고양시 일산동구 견달산로 268, 1동 2층 (식사동)",경기도 고양시 일산동구 식사동 265-1 ,10315,37.6898986666,126.8200688156,,184065.872270732    ,465291.924073175    ,체력단련장업,사립,,0
고양시,핏디렉터 프라이빗 PT스튜디오,20220607,,13,영업중,,,,10517,"경기도 고양시 덕양구 행신로143번길 14-18, 2층 201호 (행신동)",경기도 고양시 덕양구 행신동 618-8 201호,10517,37.6196740457,126.8323008997,,185124.723115241    ,457494.645532669    ,체력단련장업,사립,,0
고양시,젠뭅(GENERAL MOVEMENT),20220627,,13,영업중,,,,10414,"경기도 고양시 일산동구 중앙로 1192, 802호 (마두동)",경기도 고양시 일산동구 마두동 798-5 ,10414,37.6532320899,126.7774947284,,180297.157757027    ,461229.923097764    ,체력단련장업,사립,,0
고양시,휘트니스 에스온,20220627,,13,영업중,,031-979-1100,,10486,"경기도 고양시 덕양구 중앙로 440, 센타프라자 2층 (행신동)",경기도 고양시 덕양구 행신동 1083-2 센타프라자 2층 ,10486,37.6180859551,126.8464790546,,186375.960408109    ,457316.876879541    ,체력단련장업,사립,,0
고양시,린매스짐,20220718,,13,영업중,,,,10592,"경기도 고양시 덕양구 삼송로 222, 101(판매시설)동 B108호 (삼송동, 삼송역 현대 헤리엇)",경기도 고양시 덕양구 삼송동 293 삼송역 현대 헤리엇 101(판매시설)동 B108호,10592,37.6528963832,126.8992287721,,,,체력단련장업,사립,,0
고양시,라피네 피트니스,20220718,,13,영업중,,,,10585,"경기도 고양시 덕양구 지축로 62, 아인시티 601~603호 (지축동)",경기도 고양시 덕양구 지축동 0 아인시티 601~603호 ,10585,37.6495325709,126.9150015419,,,,체력단련장업,사립,,0
고양시,아이엠두짐,20220718,,13,영업중,,,,10500,"경기도 고양시 덕양구 화신로272번길 48, 유퍼스트빌딩 503~505호 (화정동)",경기도 고양시 덕양구 화정동 981-1 유퍼스트빌딩 503~505호 ,10500,37.6329487048,126.8319554716,,185099.23360791     ,458968.770357041    ,체력단련장업,사립,,0
고양시,벌트 휘트니스,20220919,,13,영업중,,031-902-2474,,10585,"경기도 고양시 덕양구 지축로 70, 지축푸리마타워 9층 901~919호 (지축동)",경기도 고양시 덕양구 지축동 0 고양지축지구 C1-3-1 9층 901~919호 ,10585,37.6492660580,126.9157858123,,,,체력단련장업,사립,,0
고양시,쿠마짐,20220822,,13,영업중,,,,10254,"경기도 고양시 일산동구 공릉천로473번길 40, 3동 (설문동)",경기도 고양시 일산동구 설문동 31-27 ,10254,37.7235445101,126.8215655623,,184200.953767521    ,469003.451145573    ,체력단련장업,사립,,0
고양시,와이키키짐,20220902,,13,영업중,,02-381-8277,,10591,"경기도 고양시 덕양구 동송로 70, 힐스테이트 삼송역 판매시설동 지하2층 6,7,9,33~38호 (삼송동)","경기도 고양시 덕양구 삼송동 291 힐스테이트 삼송역 판매시설동 지하2층 6,7,9,33~38호 ",10591,37.6524252132,126.8969766222,,190814.230280765    ,461119.453768538    ,체력단련장업,사립,,0
고양시,바디케어짐,20220907,,13,영업중,,,,10414,"경기도 고양시 일산동구 중앙로 1189, GM굿모닝 법조타운2 802호 (장항동)",경기도 고양시 일산동구 장항동 890-6 GM굿모닝 법조타운 ,10414,37.6527953119,126.7768187767,,180235.066218792    ,461179.533266597    ,체력단련장업,사립,,0
고양시,주식회사 제이엠에스홀딩스 마두지점,20221004,,13,영업중,,031-902-6633,,10414,"경기도 고양시 일산동구 장백로 178, 뉴욕프라자 3층 (장항동)",경기도 고양시 일산동구 장항동 897 뉴욕프라자 ,10414,37.6507621198,126.7774393067,,180290.007477584    ,460956.465956053    ,체력단련장업,사립,,0
고양시,인서스,20141106,,13,영업중,,02-739-3392,,10577,"경기도 고양시 덕양구 오금3로 5, FISKA BY LAFIANO C동 301, 302호 (오금동)","경기도 고양시 덕양구 오금동 622-1 FISKA BY LAFIANO C동 301, 302호 ",10577,37.6606148291,126.9016041725,,,,체력단련장업,사립,,0
고양시,온리스포츠클럽3호,20221006,,13,영업중,,,,10298,"경기도 고양시 덕양구 원당로 112, 고양 엘림프라자 401~405호 (주교동)",경기도 고양시 덕양구 주교동 38-13 고양 엘림프라자 401~405호 ,10298,37.6615466623,126.8381391208,,185653              ,462160              ,체력단련장업,사립,,0
고양시,범휘트니스 정발산점,20220511,,13,영업중,,031-911-5111,,10358,"경기도 고양시 일산동구 일산로 432, 5층 (정발산동)",경기도 고양시 일산동구 정발산동 1215 ,10358,37.6732493724,126.7787861534,,180415.23423684     ,463450.634103726    ,체력단련장업,사립,,0
고양시,fitness 공간,20220411,,13,영업중,,,,10449,"경기도 고양시 일산동구 일산로 38, 우림오피스텔 309, 301-1호 (백석동)",경기도 고양시 일산동구 백석동 1309 우림오피스텔 ,10449,37.6418538178,126.7872848107,,181155.460369535    ,459965.050429279    ,체력단련장업,사립,,0
고양시,레디 바디,20190823,,13,영업중,,02-371-2684,,10571,"경기도 고양시 덕양구 권율대로 900, 삼송S프라자 7층 (신원동)",경기도 고양시 덕양구 신원동 628번지 7층 ,10571,37.6633861530,126.8907252402,,190294.017847073    ,462346.34622771     ,체력단련장업,사립,,
고양시,민트 PT,20200304,,13,영업중,,,,10359,"경기도 고양시 일산동구 일산로 453, 신대성상가 301호 (정발산동)",경기도 고양시 일산동구 정발산동 1145-3번지 신대성상가 ,10359,37.6736278858,126.7762368139,,180195.719844147    ,463502.994863011    ,체력단련장업,사립,,
고양시,고포잇짐,20180426,,13,영업중,,031-901-5550,,10403,"경기도 고양시 일산동구 백마로 195, 엠시티타워&엠시티오피스텔 2110, 2111호 (장항동)",경기도 고양시 일산동구 장항동 869번지 엠시티타워&엠시티오피스텔,10403,37.6547150,126.7707981,,179708.826286267,461404.803949418,체력단련장업,사립,,
고양시,제로그래비티,20210511,,13,영업중,,,,10558,"경기도 고양시 덕양구 권율대로 690, 202동 306호 (원흥동)",경기도 고양시 덕양구 원흥동 635 ,10558,37.6504664009,126.8756238994,,188926.045450168    ,460940.677516272    ,체력단련장업,사립,,0
고양시,이형우 피티샵,20210521,,13,영업중,,031-918-5658,,10386,"경기도 고양시 일산서구 중앙로 1406, 한솔코아(주) 5층 504호 (주엽동)",경기도 고양시 일산서구 주엽동 72-2 한솔코아(주) 5층 504호,10386,37.6693807341,126.7638789033,,179098.856750343    ,463022.124877037    ,체력단련장업,사립,,
고양시,S휘트니스클럽,20090224,,13,영업중,,972-2209,,,"경기도 고양시 덕양구 충장로 18,  703호 (행신동,신영프라자)",경기도 고양시 덕양구 행신동 761-5번지 신영프라자 703호,412222,37.6142162797,126.8344293075,,185316.592501038    ,456917.595405794    ,체력단련장업,사립,,
고양시,WA-GYM,20030313,,13,영업중,,938-5084,,,"경기도 고양시 덕양구 행당로 2 (토당동,가남프라자 5층)",경기도 고양시 덕양구 토당동 882 가남프라자 5층 ,412821,37.6198384636,126.8247640338,,184462.338476214    ,457514.185162017    ,체력단련장업,사립,N,
고양시,다이아몬드짐,20190614,,13,영업중,,,,10595,"경기도 고양시 덕양구 덕수천2로 150, e편한세상시티 삼송2차 상가동 242, 243호 (동산동)",경기도 고양시 덕양구 동산동 368-2번지 e편한세상시티 삼송2차 상가동 242호,10595,37.6491640,126.8952225,,190688.14668387     ,460768.661793899    ,체력단련장업,사립,,
고양시,유피티 스튜디오,20210609,,13,영업중,,,,10362,"경기도 고양시 일산동구 무궁화로93번길 45, 지하1층 (정발산동)",경기도 고양시 일산동구 정발산동 710-2 ,10362,37.6678519438,126.7716950163,,179789.6185358      ,462851.950271734    ,체력단련장업,사립,,
고양시,세븐짐,20150821,,13,영업중,,031906 7030,,10416,"경기도 고양시 일산동구 강송로 170, 지하층 (마두동, 현대프라자)",경기도 고양시 일산동구 마두동 781 ,10416,37.6539133873,126.7842787320,,180884.005          ,461315.69           ,체력단련장업,사립,,
고양시,짐 2019,20191219,,13,영업중,,031-922-9694,,10208,경기도 고양시 일산서구 가좌로50번길 5 (가좌동),경기도 고양시 일산서구 가좌동 465-5번지 ,10208,37.6926258937,126.7204415950,,175279.394596499    ,465624.948324609    ,체력단련장업,사립,,
고양시,레이블짐&PT,20140224,,13,영업중,,0319112400,,10386,"경기도 고양시 일산서구 중앙로 1406, 7층 (주엽동, 한솔코아(주))",경기도 고양시 일산서구 주엽동 72-2 7층호,10386,37.6693807341,126.7638789033,,179098.856750343    ,463022.124877037    ,체력단련장업,사립,,0
고양시,원모어 피트니스,20160831,,13,영업중,,,,10414,"경기도 고양시 일산동구 중앙로 1189, GM굿모닝 법조타운 701, 702호 (장항동)",경기도 고양시 일산동구 장항동 890-6 GM굿모닝 법조타운 ,10414,37.6527953119,126.7768187767,,180235.066218792    ,461179.533266597    ,체력단련장업,사립,,0
고양시,골드휘트니스,20190411,,13,영업중,,,,10285,"경기도 고양시 덕양구 통일로768번길 18, 골든타워 3,4층 301,401호 (관산동)",경기도 고양시 덕양구 관산동 180-1번지 골든타워 401호,10285,37.6884335464,126.8656773516,,188086.78491602     ,465132.468798577    ,체력단련장업,사립,,
고양시,땅콩짐,20210311,,13,영업중,,,,10525,"경기도 고양시 덕양구 용현로53번길 36, 지하층 (행신동)",경기도 고양시 덕양구 행신동 741-8 지하 ,10525,37.6181907738,126.8345917308,,185328.499391427    ,457329.045734755    ,체력단련장업,사립,,
고양시,주식회사 제이엠에스 지축,20220404,,13,영업중,,02-381-3377,,10585,"경기도 고양시 덕양구 지축2로 21, 7층 701호 (지축동)",경기도 고양시 덕양구 지축동 0 7층 701호,10585,37.6478870282,126.9176103315,,,,체력단련장업,사립,,0
고양시,어빌리티휘트니스,20220426,,13,영업중,,031-994-0778,,10503,"경기도 고양시 덕양구 성신로 4, 4층 (화정동)",경기도 고양시 덕양구 화정동 1148 4층 ,10503,37.6277313134,126.8290103614,,184837.202630359    ,458391.139421906    ,체력단련장업,사립,,0
고양시,원당영헬스대중사우나,20031001,,13,영업중,,,,,"경기도 고양시 덕양구 호국로790번길 17 (성사동,영프라자 6층)",경기도 고양시 덕양구 성사동 697-14 영프라자 6층 ,412807,37.6562959816,126.8372561024,,185574.558384174    ,461557.366168146    ,체력단련장업,사립,,0
고양시,라이프바디짐,20220422,,13,영업중,,,,10412,"경기도 고양시 일산동구 정발산로196번길 7-5, 지1층 (마두동)",경기도 고양시 일산동구 마두동 884-8 ,10412,37.6631891512,126.7874436783,,181176.735          ,462331.465          ,체력단련장업,사립,,0
고양시,플랜짐 PT&필라테스,20220715,,13,영업중,,,,10585,"경기도 고양시 덕양구 지축로 62, 아인시티 8층 801, 802호 (지축동)","경기도 고양시 덕양구 지축동 0 아인시티 8층 801, 802호 ",10585,37.6495325709,126.9150015419,,,,체력단련장업,사립,,0
고양시,더 캘리포니아 짐,20170731,,13,영업중,,031-922-3992,,10360,"경기도 고양시 일산서구 일산로 517, 207호 (일산동, 뉴일산코아)",경기도 고양시 일산서구 일산동 1088-1번지 뉴일산코아 207호,10360,37.6762648,126.7701303,,179642.863327983,463805.177727081,체력단련장업,사립,,
고양시,리버휘트니스클럽,20040413,,13,영업중,,970-9688,,,"경기도 고양시 덕양구 지도로 62 (토당동,동영빌딩 4층)",경기도 고양시 덕양구 토당동 373-55번지 동영빌딩 4층 ,412818,37.6225812,126.8248161,,184468.992567153    ,457826.967039885    ,체력단련장업,사립,,
고양시,아놀드홍휘트니스 홈플러스 일산점,20141230,,13,영업중,,031-907-8296,,10401,"경기도 고양시 일산동구 중앙로1275번길 64, 4층 (장항동, 홈플러스 일산점)",경기도 고양시 일산동구 장항동 755번지 홈플러스 일산점 4층 ,410837,37.6589637,126.7688243,,179536.212704008    ,461876.531597015    ,체력단련장업,사립,,
고양시,제이짐휘트니스,20160411,,13,영업중,,,,10285,"경기도 고양시 덕양구 통일로 760, 314,315호 (관산동, 더퍼스트프라임)",경기도 고양시 덕양구 관산동 1015번지,10285,37.6877672,126.8660300,,188119.693475478,465056.766292925,체력단련장업,사립,,
고양시,Body Master Gym,20150414,,13,영업중,,0319220694,,10383,"경기도 고양시 일산서구 킨텍스로 289, 3층 (대화동)",경기도 고양시 일산서구 대화동 2283 3층호,411806,37.6710635817,126.7520015150,,178051.261375211    ,463214.134790445    ,체력단련장업,사립,,
고양시,ONE IT FIT,20010912,,13,영업중,,031-911-8861,,10386,"경기도 고양시 일산서구 강성로 101, 501.507호 (주엽동, 제일프라자)","경기도 고양시 일산서구 주엽동 72 제일프라자 501호,507호 ",10386,37.6697413821,126.7638980188,,179102.944618026    ,463065.498139119    ,체력단련장업,사립,,
고양시,뉴 라이프 짐,20080724,,13,영업중,,,,10551,"경기도 고양시 덕양구 도래울로 42, 센트럴타워 306, 307호 (도내동)","경기도 고양시 덕양구 도내동 1079 센트럴타워 306, 307호 ",10551,37.6296471764,126.8691343498,,188377.666255092    ,458597.741802129    ,체력단련장업,사립,,0
고양시,바디신스튜디오,20210203,,13,영업중,,031-912-6230,,10209,"경기도 고양시 일산서구 가좌3로 47, 선진상가 2층 204, 205호 (가좌동)","경기도 고양시 일산서구 가좌동 404 선진상가 204, 205호 ",10209,37.6883361575,126.7177800462,,175029.981962727    ,465136.426735326    ,체력단련장업,사립,,
고양시,H FITNESS,20130225,,13,영업중,,031-911-7879,,10222,"경기도 고양시 일산서구 대화로 136, B101,B102호 (대화동, 대화동 대성프라자)",경기도 고양시 일산서구 대화동 867-2번지 대성프라자 B101호,10222,37.6702710,126.7350458,,176560.850350317,463140.11637192,체력단련장업,사립,,
고양시,더해짐,20131107,,13,영업중,,,,,"경기도 고양시 덕양구 화신로 267 (화정동,이-프라자 5층 501호)",경기도 고양시 덕양구 화정동 1002-3 이-프라자 5층 501호 ,412827,37.6305218731,126.8315578734,,185062.235351276    ,458699.261420868    ,체력단련장업,사립,,0
고양시,GOTO 화정점,20141013,,13,영업중,,031 979 0321,,412827,"경기도 고양시 덕양구 백양로 65, 2(일부)층 (화정동, 동도센트리움)",경기도 고양시 덕양구 화정동 986-6 동도센트리움 2층일부 ,412827,37.6315054560,126.8333510414,,185223.247323477    ,458807.524638212    ,체력단련장업,사립,,
고양시,IT GYM,20210407,,13,영업중,,031-977-2400,,10387,"경기도 고양시 일산서구 주화로 70, 일산우신프라자빌 3층 311호 (주엽동)",경기도 고양시 일산서구 주엽동 109-1 일산우신프라자빌 3층 311호,10387,37.6697457909,126.7602808453,,178783.354887453    ,463067.053459256    ,체력단련장업,사립,,
고양시,트리플짐,20061120,,13,영업중,,031-975-7080,,10352,"경기도 고양시 일산서구 고양대로632번길 60, 502,503호 (일산동, 이안아파트)","경기도 고양시 일산서구 일산동 655-15번지 일산역이안 502, 503호 ",10352,37.6837936,126.7685196,,179515.811430254    ,464632.871329235    ,체력단련장업,사립,,
고양시,이레휘트니스클럽,20040805,,13,영업중,,031-966-3303,,,"경기도 고양시 덕양구 은빛로 41, 1001호 (화정동)",경기도 고양시 덕양구 화정동 909-1 1001호,412826,37.6381791701,126.8324413484,,185143.08057184     ,459548.2384359      ,체력단련장업,사립,,0
고양시,주식회사 세븐짐탄현,20021112,,13,영업중,,916-5258,,10343,"경기도 고양시 일산서구 산현로17번길 9, 602,603,604호 (탄현동, 부건3차)","경기도 고양시 일산서구 탄현동 1576-5번지 부건3차프라자 602, 603, 604호 ",10343,37.6900719167,126.7632959556,,179058.795          ,465330.68           ,체력단련장업,사립,,
고양시,용구의 바디 스토리,20120419,,13,영업중,,,,10401,"경기도 고양시 일산동구 중앙로1275번길 60-21, 크리스탈빌딩 204호 (장항동)",경기도 고양시 일산동구 장항동 756-3 크리스탈빌딩 204호,10401,37.6597853105,126.7688147542,,179935.267998763    ,461800.124782342    ,체력단련장업,사립,,
고양시,일산스파골프 휘트니스,20171221,,13,영업중,,031-922-9688,,10374,"경기도 고양시 일산서구 일산로 562, 신일산연합상가 지하1층 B103~B105호 (일산동)",경기도 고양시 일산서구 일산동 1064-3 신일산연합상가 B103~호,10374,37.6788842775,126.7659056547,,179267.11335259     ,464086.734405078    ,체력단련장업,사립,,
고양시,에이스스파랜드,20050425,,13,영업중,,,,10340,"경기도 고양시 일산서구 고봉로 291, 5층 (일산동, 에이스스타디움)",경기도 고양시 일산서구 일산동 555-1 5층 ,10340,37.6852992365,126.7771837715,,180275.871906592    ,464787.911601766    ,체력단련장업,사립,,
고양시,밸런스짐,20170120,,13,영업중,,,,10508,"경기도 고양시 덕양구 능곡로 11, 한강 능곡역 성원상떼빌 2단지 상가동 지하 104,105,106,107,108,109,111호 (토당동)",경기도 고양시 덕양구 토당동 347-7번지 한강 능곡역 성원상떼빌 2단지 ,10508,37.6215831,126.8202310,,184052.599831227    ,457693.116696675    ,체력단련장업,사립,,
고양시,일상 피트니스,20201210,,13,영업중,,,,10583,"경기도 고양시 덕양구 통일로214번길 6, 2층 (지축동)",경기도 고양시 덕양구 지축동 766-172 2층 ,10583,37.6549113518,126.8984416358,,190966.864063155    ,461398.110682579    ,체력단련장업,사립,,0
고양시,용바디짐,20201216,,13,영업중,,,,10343,"경기도 고양시 일산서구 일현로41번길 16, 탄현 헤센스마트 312호 (탄현동)",경기도 고양시 일산서구 탄현동 1559-1 탄현 헤센스마트 312호,10343,37.6914405739,126.7617213547,,178914.559061222    ,465511.426210593    ,체력단련장업,사립,,
고양시,JMS 휘트니스 풍동점,20210607,,13,영업중,,,,10305,"경기도 고양시 일산동구 숲속마을로 26, 풍동프라자 701호 (풍동)",경기도 고양시 일산동구 풍동 1278 풍동프라자 701호,10305,37.6673408186,126.8004207226,,182323.199490397    ,462789.509070572    ,체력단련장업,사립,,
고양시,더블핏 스튜디오,20140415,,13,영업중,,,,10325,"경기도 고양시 일산동구 위시티로 67, 201호 (식사동)",경기도 고양시 일산동구 식사동 1522번지 201호,410821,37.6780409,126.8108200,,183253              ,463992              ,체력단련장업,사립,,
고양시,헬쓰학원,20111220,,13,영업중,,031-901-8930,,10401,"경기도 고양시 일산동구 무궁화로 34, 602호 (장항동, 남정씨티프라자2)",경기도 고양시 일산동구 장항동 778-2번지 남정씨티프라자2 602호,410837,37.6625215,126.7683258,,179492.666132508    ,462272.008263397    ,체력단련장업,사립,,
고양시,히플짐,20210603,,13,영업중,,,,10546,"경기도 고양시 덕양구 꽃마을로 4, 고양향동 퍼스트타워 801호 (향동동)",경기도 고양시 덕양구 향동동 529 고양향동 퍼스트타워 ,10546,37.5989345801,126.8924015047,,,,체력단련장업,사립,,0
고양시,바디프로핏,20210603,,13,영업중,,,,10546,"경기도 고양시 덕양구 꽃마을로 68, 로데오프라자 604호 (향동동)",경기도 고양시 덕양구 향동동 522 로데오프라자 ,10546,37.6009606006,126.8937671163,,,,체력단련장업,사립,,0
고양시,휘트니스피플 우먼 탄현점,20210927,,13,영업중,,,,10242,"경기도 고양시 일산서구 일현로 65, 3층 301~302호 (탄현동)",경기도 고양시 일산서구 탄현동 174-42 3층 301~302호 ,10242,37.6928397948,126.7635109362,,179071.759839078    ,465639.544926698    ,체력단련장업,사립,,0
고양시,범휘트니스 탄현점,20200731,,13,영업중,,,,10347,"경기도 고양시 일산서구 산현로92번길 60, 탄현 이화프라자 3층 306호 (일산동)",경기도 고양시 일산서구 일산동 2023 탄현 이화프라자 306호,10347,37.6894239828,126.7707922349,,179715.317814401    ,465248.03770131     ,체력단련장업,사립,,0
고양시,운동을 하다,20210409,,13,영업중,,,,10402,"경기도 고양시 일산동구 중앙로1261번길 61, 메트로골드 301호 (장항동)",경기도 고양시 일산동구 장항동 864 메트로골드 301호,10402,37.6574145958,126.7702324676,,179657.839433967    ,461692.079607674    ,체력단련장업,사립,,
고양시,ATP 스포츠센터,20210331,,13,영업중,,,,10477,"경기도 고양시 덕양구 화중로152번길 6-18, 지하층 (화정동)",경기도 고양시 덕양구 화정동 888-3 지하 ,10477,37.6399249922,126.8335478400,,185238.51475739     ,459740.0793282      ,체력단련장업,사립,,
고양시,JMS 휘트니스 향동점,20210331,,13,영업중,,02-3159-0844,,10546,"경기도 고양시 덕양구 향기로 115, 봄프라자 8층 (향동동)",경기도 고양시 덕양구 향동동 526 봄프라자 8층 ,10546,37.6001128542,126.8936720390,,,,체력단련장업,사립,,
고양시,바디맥스,20190403,,13,영업중,,,,10237,"경기도 고양시 일산서구 덕이로 30-8, 양우씨네플렉스 제지1층 제비105호,제비106호,제비107호 (덕이동)",경기도 고양시 일산서구 덕이동 219-10번지 양우씨네플렉스 ,10237,37.6895707,126.7561889,,178429.43785909     ,465276.386992835    ,체력단련장업,사립,,
고양시,업템포짐,20210409,,13,영업중,,,,10546,"경기도 고양시 덕양구 꽃마을로 4, 고양향동 퍼스트타워 7층 707, 708호 (향동동)",경기도 고양시 덕양구 향동동 529 고양향동 퍼스트타워 7층 ,10546,37.5989346384,126.8924128325,,,,체력단련장업,사립,,
