개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
3220000,CDFH3301062022000027,20220523,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 일원동 684-6 대청빌딩,서울특별시 강남구 일원로 47 대청빌딩 지하1층 b2호 (일원동),6343,피티공간,2.02205E+13,I,2021.12.4 22:05,,207147.6646,443066.7156,,,,,,,,,
3140000,CDFH3301062019000003,20190410,,1,영업/정상,13,영업중,,,,,,,,서울특별시 양천구 목동 602-2 클래리티 타워,서울특별시 양천구 공항대로 566 클래리티 타워 지하1층 (목동),7947,엠오핏 PT&Pilates,2.02207E+13,U,2021.12.7 0:08,,188272.4726,449639.4848,,,,,,,,,
3220000,CDFH3301062022000042,20220819,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 청담동 87-5,서울특별시 강남구 도산대로 413 지하2층 (청담동),6014,(주)피기블라인더스,2.02208E+13,I,2021.12.7 22:01,,203528.3494,446838.867,,,,,,,,,
3200000,CDFH3301062011000002,20111020,,1,영업/정상,13,영업중,,,,,02-848-6464,,151822,서울특별시 관악구 봉천동 874-9 백광빌딩 지하12층,서울특별시 관악구 남부순환로 1793 (봉천동백광빌딩 지하12층),,아워 피트니스(Our Fitness),2.02207E+13,U,2021.12.7 0:08,,195450.707,442195.7347,,,,,,,,,
3040000,CDFH3301062003000005,20031106,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 광장동 484 지하12층,서울특별시 광진구 아차산로70길 62 지하12층 (광장동 광장현대3단지아파트),4974,비스코헬스케어,2.02204E+13,U,2021.12.3 23:04,,208644.8192,448711.7258,,,,,,,,,
3240000,CDFH3301062022000014,20220707,,1,영업/정상,13,영업중,,,,,02-477-3912,,,서울특별시 강동구 길동 391-1,서울특별시 강동구 양재대로 1488 길동 5층 (길동),5351,휘트니스피플 우먼 길동점,2.02207E+13,I,2021.12.7 0:09,,212355.4535,448486.1122,,,,,,,,,
3190000,CDFH3301062003000007,20030520,,3,폐업,3,폐업,20220407,,,,02-815-9501,,,서울특별시 동작구 노량진동 53-3,서울특별시 동작구 장승배기로28길 6 1~2층 (노량진동),6924,오투 휘트니스,2.02204E+13,U,2021.12.4 0:09,,194679.0376,445571.4026,,,,,,,,,
3210000,CDFH3301062021000001,20210121,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1315 진흥상가,서울특별시 서초구 서초대로 389 진흥상가 지하층 1호 (서초동),6617,넥스트레벨피티,2.02207E+13,U,2021.12.7 0:09,,201930.0149,443904.4617,,,,,,,,,
3210000,CDFH3301062021000002,20210121,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 방배동 1021-14,서울특별시 서초구 방배로6길 13 지하1층 (방배동),6705,바디어필 PT 스튜디오,2.02207E+13,U,2021.12.7 0:09,,199935.893,441896.0625,,,,,,,,,
3210000,CDFH3301062020000021,20201104,,1,영업/정상,13,영업중,,,,,02-584-1905,,,서울특별시 서초구 서초동 1575-2 서용빌딩,서울특별시 서초구 서초중앙로 115 서용빌딩 지층 (서초동),6644,위크로스핏,2.02207E+13,U,2021.12.7 0:09,,201141.5316,443312.9172,,,,,,,,,
3210000,CDFH3301062020000019,20201012,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 반포동 49-10,서울특별시 서초구 서초중앙로31길 14-11 1층 (반포동),6593,핏플즈,2.02207E+13,U,2021.12.7 0:09,,200855.2829,444253.895,,,,,,,,,
3210000,CDFH3301062020000017,20200812,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 방배동 866-10 방배 마에스트로,서울특별시 서초구 서초대로 13 방배 마에스트로 204호 (방배동),6569,에이제이짐,2.02207E+13,U,2021.12.7 0:09,,198504.8269,442641.08,,,,,,,,,
3060000,CDFH3301062020000002,20200528,,1,영업/정상,13,영업중,,,,,02-433-4311,,,서울특별시 중랑구 면목동 617-2,서울특별시 중랑구 면목로 310 지하1층 (면목동),2249,에이블짐,2.02207E+13,U,2021.12.7 0:09,,207702.8399,453039.3455,,,,,,,,,
3210000,CDFH3301062020000003,20200224,,1,영업/정상,13,영업중,,,,,02-532-6456,,,서울특별시 서초구 서초동 1698-10,서울특별시 서초구 서초대로53길 21 202호 (서초동),6604,리버스바디,2.02207E+13,U,2021.12.7 0:09,,201203.9883,443763.0023,,,,,,,,,
3240000,CDFH3301062022000006,20220423,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 천호동 22-5 동곡빌딩,서울특별시 강동구 구천면로 384 동곡빌딩 (천호동),5306,다윗헬스클럽,2.02204E+13,I,2021.12.3 22:05,,212415.322,449821.3244,,,,,,,,,
3210000,CDFH3301062019000012,20190911,,1,영업/정상,13,영업중,,,,,02-597-2141,,,서울특별시 서초구 서초동 1573-14 웅진타워,서울특별시 서초구 반포대로30길 81 웅진타워 (서초동),6644,올데이핏(Allday Fit),2.02207E+13,U,2021.12.7 0:09,,201068.5429,443409.0584,,,,,,,,,
3220000,CDFH3301062022000021,20220422,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 청담동 62,서울특별시 강남구 삼성로146길 10 다인빌딩 4층 (청담동),6070,우아,2.02204E+13,I,2021.12.3 22:04,,204251.6023,446774.9108,,,,,,,,,
3210000,CDFH3301062019000011,20190729,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1640-8 맥스빌딩,서울특별시 서초구 사임당로17길 123 맥스빌딩 (서초동),6632,박PT,2.02207E+13,U,2021.12.7 0:09,,201637.5165,443495.6241,,,,,,,,,
3210000,CDFH3301062018000013,20180625,,1,영업/정상,13,영업중,,,,,070-8993-0779,,,서울특별시 서초구 잠원동 16-1 잠원빌딩,서울특별시 서초구 강남대로109길 102 잠원빌딩 5층 (잠원동),6525,피트니스 프렌즈,2.02207E+13,U,2021.12.7 0:09,,201358.3548,445905.6306,,,,,,,,,
3210000,CDFH3301062018000012,20180618,,1,영업/정상,13,영업중,,,,,0506-050-1111,,,서울특별시 서초구 서초동 1685-3 아크로비스타상가 상가동 L-134호,서울특별시 서초구 서초중앙로 188 상가동 L층 134호 (서초동 아크로비스타),6600,썬더짐,2.02207E+13,U,2021.12.7 0:09,,201107.6347,443999.0671,,,,,,,,,
3210000,CDFH3301062017000013,20171031,,1,영업/정상,13,영업중,,,,,02-533-2817,,,서울특별시 서초구 서초동 1316-5 부띠크 모나코,서울특별시 서초구 서초대로 397 2층 203-1호 (서초동),6616,주식회사 블레스라이프 필라테스,2.02207E+13,U,2021.12.7 0:09,,202099.2528,443921.619,,,,,,,,,
3180000,CDFH3301062022000007,20220422,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 여의도동 43-2,서울특별시 영등포구 국제금융로 72 4층 (여의도동),7333,짐앤피티,2.02204E+13,I,2021.12.3 22:04,,193819.5751,446543.5339,,,,,,,,,
3200000,CDFH3301062022000013,20220524,,1,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 신림동 116-24,서울특별시 관악구 신림로 132 3층 (신림동),8838,이너멜핏,2.02205E+13,I,2021.12.4 22:06,,194177.3452,441048.3402,,,,,,,,,
3130000,CDFH3301062022000007,20220525,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 합정동 413-5,서울특별시 마포구 독막로 13 일호빌딩 B동 3층 (합정동),4046,피트니스플랜비,2.02205E+13,I,2021.12.4 22:07,,192428.5161,449631.1217,,,,,,,,,
3200000,CDFH3301062022000003,20220118,,1,영업/정상,13,영업중,,,,,02-877-0834,,,서울특별시 관악구 봉천동 875-10 예성 아이 라이프,서울특별시 관악구 남부순환로 1798 예성 아이 라이프 지하1층 (봉천동),8786,바운드짐,2.02205E+13,U,2021.12.4 22:07,,195496.515,442114.4358,,,,,,,,,
3180000,CDFH3301061999000003,19990607,,3,폐업,3,폐업,20220531,,,,849-2121,,,서울특별시 영등포구 대림동 710-11,서울특별시 영등포구 도림로 159 (대림동 대창신용협동조합 사옥),7413,J. Fitness,2.02205E+13,U,2021.12.4 22:07,,191016.8499,443617.9394,,,,,,,,,
3130000,CDFH3301062022000006,20220421,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 노고산동 31-208,서울특별시 마포구 고산2길 6 지하1층 (노고산동),4108,힘듦,2.02204E+13,I,2021.12.3 22:03,,194443.8435,450103.8602,,,,,,,,,
3190000,CDFH3301062022000009,20220526,,1,영업/정상,13,영업중,,,,,,,,서울특별시 동작구 신대방동 357-23,서울특별시 동작구 여의대방로22길 110 지1층 (신대방동),7059,프롬 베이스먼트,2.02205E+13,I,2021.12.4 22:08,,193387.4084,443966.2535,,,,,,,,,
3150000,CDFH3301062022000021,20220526,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 등촌동 513-21,서울특별시 강서구 등촌로 169 3층 (등촌동),7668,마음가짐 P.T 1:1 Studio,2.02205E+13,I,2021.12.4 22:08,,187736.0215,449200.4652,,,,,,,,,
3210000,CDFH3301062022000013,20220421,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 서초동 1332-4 Cross 143,서울특별시 서초구 사임당로 143 Cross 143 4층 407408호 (서초동),6624,내셔널짐 서초점,2.02204E+13,I,2021.12.3 22:03,,202161.8868,443298.2694,,,,,,,,,
3240000,CDFH3301062022000009,20220526,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 암사동 463-4 까사팔공육,서울특별시 강동구 올림픽로 806 지하1층 (암사동 까사팔공육),5251,크로스핏 쓰리박스,2.02205E+13,I,2021.12.4 22:08,,211314.3048,450079.3581,,,,,,,,,
3110000,CDFH3301062015000011,20151126,,1,영업/정상,13,영업중,,,,,02-308-9600,,,서울특별시 은평구 응암동 577-16 명남더블레스아파트2차 204호,서울특별시 은평구 응암로 215 2층 204 205호 (응암동 명남더블레스아파트2차),3457,픽스바디짐,2.02205E+13,U,2021.12.4 22:08,,192604.062,454327.4789,,,,,,,,,
3030000,CDFH3301062022000004,20220421,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 성수동1가 13-441,서울특별시 성동구 상원길 64 2층 (성수동1가),4791,모스트짐,2.02204E+13,I,2021.12.3 22:03,,204173.5902,449726.4767,,,,,,,,,
3070000,CDFH3301062011000002,20111205,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성북구 동선동2가 120 패션빌딩,서울특별시 성북구 보문로30길 71 패션빌딩 지하1층 (동선동2가),2849,체대입시FA,2.02205E+13,U,2021.12.4 22:08,,201646.5909,454251.1016,,,,,,,,,
3140000,CDFH3301062022000004,20220420,,1,영업/정상,13,영업중,,,,,226541119,,,서울특별시 양천구 신정동 1026-4 준빌딩,서울특별시 양천구 신월로 348 준빌딩 2층 (신정동),8086,라인피트니스,2.02204E+13,I,2021.12.3 22:02,,187517.1999,446609.1782,,,,,,,,,
3030000,CDFH3301062022000007,20220527,,1,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 금호동2가 494 동원빌딩,서울특별시 성동구 금호산길 61 동원빌딩 301호 (금호동2가),4723,와츠핏(What's fit),2.02205E+13,I,2021.12.4 22:09,,201632.9507,450154.4542,,,,,,,,,
3170000,CDFH3301062022000004,20220530,,1,영업/정상,13,영업중,,,,,,,,서울특별시 금천구 시흥동 264-19,서울특별시 금천구 금하로 755-3 2층 (시흥동),8656,트리니코스,2.02205E+13,I,2021.12.6 0:01,,192292.2871,438675.0436,,,,,,,,,
3190000,CDFH3301062022000008,20220420,,1,영업/정상,13,영업중,,,,,,,,서울특별시 동작구 신대방동 607-5,서울특별시 동작구 시흥대로 658 3~4층 (신대방동),7069,짐박스 피트니스,2.02204E+13,I,2021.12.3 22:02,,191803.525,443132.7416,,,,,,,,,
3180000,CDFH3301062022000012,20220530,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 신길동 801,서울특별시 영등포구 가마산로89길 5 23층 (신길동),7360,바르다짐,2.02205E+13,I,2021.12.6 0:01,,192990.7646,444748.8629,,,,,,,,,
3230000,CDFH3301062022000015,20220530,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 석촌동 271 영신빌딩 지층,서울특별시 송파구 가락로11길 8 영신빌딩 지층 (석촌동),5688,헬스 Boy,2.02205E+13,I,2021.12.6 0:01,,209207.4237,444322.6712,,,,,,,,,
3120000,CDFH3301062022000006,20220420,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서대문구 홍제동 159-3,서울특별시 서대문구 통일로35길 14-4 B201호 (홍제동),3646,마카롱 PT,2.02204E+13,I,2021.12.3 22:02,,195159.2077,453800.852,,,,,,,,,
3200000,CDFH3301062022000014,20220530,,1,영업/정상,13,영업중,,,,,070-7585-9679,,,서울특별시 관악구 신림동 116-24,서울특별시 관악구 신림로 132 2층 (신림동),8838,이너멜 피트니스,2.02205E+13,I,2021.12.6 0:01,,194177.3452,441048.3402,,,,,,,,,
3220000,CDFH3301062022000043,20220822,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 청담동 32-5,서울특별시 강남구 삼성로133길 12 지하1층 (청담동),6068,짐로드,2.02208E+13,I,2021.12.7 22:04,,204218.3939,446381.0351,,,,,,,,,
3060000,CDFH3301062022000007,20220530,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 망우동 0,서울특별시 중랑구 양원역로10길 3 제이타워 7층 (망우동),2057,콤마짐,2.02205E+13,I,2021.12.6 0:01,,,,,,,,,,,,
3200000,CDFH3301062022000011,20220420,,1,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 1659-4 동림오피스텔,서울특별시 관악구 남부순환로 1924 동림오피스텔 지하3층 (봉천동),8793,짐박스피트니스 낙성대점,2.02204E+13,I,2021.12.3 22:02,,196651.5224,441647.0806,,,,,,,,,
3230000,CDFH3301062020000024,20201015,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 가락동 479 헬리오시티,서울특별시 송파구 송파대로 345 A동 B1층 3호 (가락동 헬리오시티),5698,베스트 트레이닝 스튜디오(BTS),2.02205E+13,U,2021.12.6 0:01,,209394.2313,443951.2369,,,,,,,,,
3210000,CDFH3301062010000008,20100806,,1,영업/정상,13,영업중,,,,,587-7330,,137872,서울특별시 서초구 서초동 1542-14 우림빌딩(지1층),서울특별시 서초구 반포대로 118 (서초동 (지1층)),6647,리스펙짐,2.02205E+13,U,2021.12.6 0:01,,200692.6101,443164.7088,,,,,,,,,
3220000,CDFH3301062022000020,20220420,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 역삼동 659-16,서울특별시 강남구 봉은사로30길 24 지하 1층 (역삼동),6136,W gym,2.02204E+13,I,2021.12.3 22:02,,203055.8102,444861.5899,,,,,,,,,
3010000,CDFH3301062022000004,20220531,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 신당동 373-34,서울특별시 중구 동호로10길 6 301호 (신당동),4594,스포니스 약수점,2.02205E+13,I,2021.12.6 0:02,,200968.4434,450204.2223,,,,,,,,,
3060000,CDFH3301062022000008,20220531,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 중화동 302-75,서울특별시 중랑구 중랑역로 62 5층 (중화동),2103,퍼플피플,2.02205E+13,I,2021.12.6 0:02,,206835.9758,455179.5443,,,,,,,,,
3150000,CDFH3301062022000019,20220420,,1,영업/정상,13,영업중,,,,,02-3662-9928,,,서울특별시 강서구 마곡동 797-14 힐스테이트에코마곡,서울특별시 강서구 공항대로 269-15 힐스테이트에코마곡 303호 (마곡동),7803,바디킥짐,2.02204E+13,I,2021.12.3 22:02,,185573,450813,,,,,,,,,
3230000,CDFH3301062022000016,20220531,,1,영업/정상,13,영업중,,,,,02-419-0228,,,서울특별시 송파구 잠실동 181-9 맥스빌딩 10층,서울특별시 송파구 올림픽로 108 맥스빌딩 10층 (잠실동),5557,머스트무브짐,2.02205E+13,I,2021.12.6 0:02,,207248.4045,445470.7501,,,,,,,,,
3150000,CDFH3301062022000022,20220531,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 마곡동 794-1 우성에스비타워,서울특별시 강서구 강서로 385 우성에스비타워 301호 (마곡동),7803,브이업짐 발산점,2.02205E+13,I,2021.12.6 0:02,,185660,450884,,,,,,,,,
3230000,CDFH3301062022000012,20220419,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 방이동 206-8 에벤에셀빌딩 지하1층,서울특별시 송파구 위례성대로18길 31-7 에벤에셀빌딩 지하1층 (방이동),5639,테라피티 방이동점,2.02204E+13,I,2021.12.3 22:01,,211015.0432,445263.4097,,,,,,,,,
3150000,CDFH3301062020000018,20200717,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 마곡동 798-12 엠리체,서울특별시 강서구 마곡중앙1로 26 엠리체 301~303호 (마곡동),7807,브이업짐 마곡점,2.02205E+13,U,2021.12.6 0:02,,,,,,,,,,,,
3140000,CDFH3301062011000003,20110412,,1,영업/정상,13,영업중,,,,,,,,서울특별시 양천구 신정동 948-24 신호아파트,서울특별시 양천구 오목로 160 A동 B03~07호 (신정동 신호아파트),8020,라이프스포츠,2.02205E+13,U,2021.12.6 0:02,,187133.1136,446945.4797,,,,,,,,,
3190000,CDFH3301062022000007,20220418,,1,영업/정상,13,영업중,,,,,,,,서울특별시 동작구 사당동 147-29 이수자이,서울특별시 동작구 사당로 300 211호 (사당동 이수자이),7013,나의 체육관,2.02204E+13,I,2021.12.3 22:00,,198202.4725,442471.241,,,,,,,,,
3240000,CDFH3301062022000010,20220603,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 길동 411-3 남양빌딩,서울특별시 강동구 양재대로 1462 남양빌딩 2층 (길동),5352,라이프체인지 PT,2.02206E+13,I,2021.12.6 0:05,,212280.8629,448229.8494,,,,,,,,,
3040000,CDFH3301062015000011,20151229,,1,영업/정상,13,영업중,,,,,234363912,,,서울특별시 광진구 자양동 580-9,서울특별시 광진구 뚝섬로 585 (자양동 신축빌딩),5068,워라밸피트니스 자양점,2.0221E+13,U,2021.10.30 22:02,,206568.2364,447940.0225,,,,,,,,,
3160000,CDFH3301062022000003,20220415,,1,영업/정상,13,영업중,,,,,,,,서울특별시 구로구 신도림동 435-10 신도림3차푸르지오아파트 213호,서울특별시 구로구 경인로 619-3 2층 213호 (신도림동 신도림3차푸르지오아파트),8210,엠스트레이닝 2호점,2.02204E+13,I,2021.12.3 23:07,,189681.449,444964.8938,,,,,,,,,
3210000,CDFH3301062017000012,20170912,,1,영업/정상,13,영업중,,,,,,,,,서울특별시 서초구 남부순환로347길 101 (서초동 지하1층),6728,워너비,2.02207E+13,U,2021.12.7 0:09,,202585,442951,,,,,,,,,
3080000,CDFH3301062003000004,20030404,,3,폐업,3,폐업,20220707,,,,908-8862,,142722,서울특별시 강북구 수유동 191-35 우성빌딩지하1층,서울특별시 강북구 한천로 1035 (수유동우성빌딩지하1층),,시너짐(SYNER GYM),2.02207E+13,U,2021.12.7 0:09,,202276.5841,459713.8183,,,,,,,,,
3150000,CDFH3301062022000018,20220415,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 등촌동 641-3,서울특별시 강서구 화곡로66길 76 4층 (등촌동),7569,무궁화체육관,2.02204E+13,I,2021.12.3 23:07,,187333.4032,450493.4498,,,,,,,,,
3010000,CDFH3301062022000005,20220708,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 신당동 341-20,서울특별시 중구 다산로18길 23 (신당동),4591,one shop,2.02207E+13,I,2021.12.6 23:02,,201105.9539,450495.0672,,,,,,,,,
3060000,CDFH3301062022000011,20220711,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 면목동 651-9,서울특별시 중랑구 사가정로50길 30 3층 (면목동),2237,랩 지피티짐,2.02207E+13,I,2021.12.6 23:03,,207518.3031,453042.674,,,,,,,,,
3060000,CDFH3301062022000009,20220602,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 상봉동 103-18,서울특별시 중랑구 봉우재로33길 65 4층 (상봉동),2154,코어핏 PT&필라테스,2.02206E+13,I,2021.12.6 0:04,,207777.347,454772.9911,,,,,,,,,
3180000,CDFH3301062022000013,20220602,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 도림동 250-20 브라보주상아파트,서울특별시 영등포구 도신로 59 지하1층 (도림동 브라보주상아파트),7374,머슬뱅크짐,2.02206E+13,I,2021.12.6 0:04,,191021.0931,444871.9042,,,,,,,,,
3180000,CDFH3301062022000006,20220413,,1,영업/정상,13,영업중,,,,,,,,서울특별시 영등포구 영등포동2가 94-212 명화오피스텔,서울특별시 영등포구 국회대로56길 46 지하1층 (영등포동2가 명화오피스텔),7253,엔짐 영등포점,2.02204E+13,I,2021.12.3 23:05,,192078.9283,446561.2267,,,,,,,,,
